From	To	Species	Gene Name
5207	ENSG00000158571	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1(PFKFB1)
9807	ENSG00000176095	Homo sapiens	inositol hexakisphosphate kinase 1(IP6K1)
6538	ENSG00000132164	Homo sapiens	solute carrier family 6 member 11(SLC6A11)
5208	ENSG00000123836	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2(PFKFB2)
5209	ENSG00000170525	Homo sapiens	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3(PFKFB3)
56848	ENSG00000063176	Homo sapiens	sphingosine kinase 2(SPHK2)
10005	ENSG00000101473	Homo sapiens	acyl-CoA thioesterase 8(ACOT8)
140838	ENSG00000170191	Homo sapiens	N-acetylneuraminic acid phosphatase(NANP)
6550	ENSG00000066230	Homo sapiens	solute carrier family 9 member A3(SLC9A3)
6550	ENSG00000281861	Homo sapiens	solute carrier family 9 member A3(SLC9A3)
6553	ENSG00000135740	Homo sapiens	solute carrier family 9 member A5(SLC9A5)
129642	ENSG00000143797	Homo sapiens	membrane bound O-acyltransferase domain containing 2(MBOAT2)
8733	ENSG00000197858	Homo sapiens	glycosylphosphatidylinositol anchor attachment 1(GPAA1)
5464	ENSG00000180817	Homo sapiens	inorganic pyrophosphatase 1(PPA1)
6555	ENSG00000125255	Homo sapiens	solute carrier family 10 member 2(SLC10A2)
8972	ENSG00000282607	Homo sapiens	maltase-glucoamylase(MGAM)
8972	ENSG00000257335	Homo sapiens	maltase-glucoamylase(MGAM)
5223	ENSG00000171314	Homo sapiens	phosphoglycerate mutase 1(PGAM1)
6554	ENSG00000100652	Homo sapiens	solute carrier family 10 member 1(SLC10A1)
10690	ENSG00000172461	Homo sapiens	fucosyltransferase 9(FUT9)
5224	ENSG00000164708	Homo sapiens	phosphoglycerate mutase 2(PGAM2)
245972	ENSG00000147614	Homo sapiens	ATPase H+ transporting V0 subunit d2(ATP6V0D2)
23761	ENSG00000241878	Homo sapiens	phosphatidylserine decarboxylase(PISD)
245973	ENSG00000143882	Homo sapiens	ATPase H+ transporting V1 subunit C2(ATP6V1C2)
30061	ENSG00000138449	Homo sapiens	solute carrier family 40 member 1(SLC40A1)
3284	ENSG00000203859	Homo sapiens	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2(HSD3B2)
2194	ENSG00000169710	Homo sapiens	fatty acid synthase(FASN)
3283	ENSG00000203857	Homo sapiens	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1(HSD3B1)
126129	ENSG00000169169	Homo sapiens	carnitine palmitoyltransferase 1C(CPT1C)
54677	ENSG00000005469	Homo sapiens	carnitine O-octanoyltransferase(CROT)
51166	ENSG00000109576	Homo sapiens	aminoadipate aminotransferase(AADAT)
3038	ENSG00000103044	Homo sapiens	hyaluronan synthase 3(HAS3)
11309	ENSG00000137491	Homo sapiens	solute carrier organic anion transporter family member 2B1(SLCO2B1)
374907	ENSG00000177191	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8(B3GNT8)
435	ENSG00000126522	Homo sapiens	argininosuccinate lyase(ASL)
3037	ENSG00000170961	Homo sapiens	hyaluronan synthase 2(HAS2)
54675	ENSG00000088766	Homo sapiens	cardiolipin synthase 1(CRLS1)
3036	ENSG00000105509	Homo sapiens	hyaluronan synthase 1(HAS1)
4125	ENSG00000104774	Homo sapiens	mannosidase alpha class 2B member 1(MAN2B1)
6546	ENSG00000183023	Homo sapiens	solute carrier family 8 member A1(SLC8A1)
5214	ENSG00000067057	Homo sapiens	phosphofructokinase, platelet(PFKP)
4126	ENSG00000109323	Homo sapiens	mannosidase beta(MANBA)
6548	ENSG00000090020	Homo sapiens	solute carrier family 9 member A1(SLC9A1)
4128	ENSG00000189221	Homo sapiens	monoamine oxidase A(MAOA)
6547	ENSG00000100678	Homo sapiens	solute carrier family 8 member A3(SLC8A3)
4129	ENSG00000069535	Homo sapiens	monoamine oxidase B(MAOB)
10455	ENSG00000198721	Homo sapiens	enoyl-CoA delta isomerase 2(ECI2)
6307	ENSG00000052802	Homo sapiens	methylsterol monooxygenase 1(MSMO1)
6549	ENSG00000115616	Homo sapiens	solute carrier family 9 member A2(SLC9A2)
284098	ENSG00000275600	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class W(PIGW)
284098	ENSG00000277161	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class W(PIGW)
6309	ENSG00000109929	Homo sapiens	sterol-C5-desaturase(SC5D)
6560	ENSG00000124067	Homo sapiens	solute carrier family 12 member 4(SLC12A4)
64241	ENSG00000143921	Homo sapiens	ATP binding cassette subfamily G member 8(ABCG8)
3291	ENSG00000176387	Homo sapiens	hydroxysteroid 11-beta dehydrogenase 2(HSD11B2)
64240	ENSG00000138075	Homo sapiens	ATP binding cassette subfamily G member 5(ABCG5)
3290	ENSG00000117594	Homo sapiens	hydroxysteroid 11-beta dehydrogenase 1(HSD11B1)
5471	ENSG00000128059	Homo sapiens	phosphoribosyl pyrophosphate amidotransferase(PPAT)
23539	ENSG00000100156	Homo sapiens	solute carrier family 16 member 8(SLC16A8)
5230	ENSG00000102144	Homo sapiens	phosphoglycerate kinase 1(PGK1)
6561	ENSG00000081800	Homo sapiens	solute carrier family 13 member 1(SLC13A1)
4143	ENSG00000151224	Homo sapiens	methionine adenosyltransferase 1A(MAT1A)
8501	ENSG00000149150	Homo sapiens	solute carrier family 43 member 1(SLC43A1)
6564	ENSG00000088386	Homo sapiens	solute carrier family 15 member 1(SLC15A1)
5232	ENSG00000170950	Homo sapiens	phosphoglycerate kinase 2(PGK2)
4144	ENSG00000168906	Homo sapiens	methionine adenosyltransferase 2A(MAT2A)
6563	ENSG00000141469	Homo sapiens	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)
6566	ENSG00000281917	Homo sapiens	solute carrier family 16 member 1(SLC16A1)
6566	ENSG00000155380	Homo sapiens	solute carrier family 16 member 1(SLC16A1)
5476	ENSG00000064601	Homo sapiens	cathepsin A(CTSA)
6565	ENSG00000163406	Homo sapiens	solute carrier family 15 member 2(SLC15A2)
80704	ENSG00000135917	Homo sapiens	solute carrier family 19 member 3(SLC19A3)
23530	ENSG00000112992	Homo sapiens	nicotinamide nucleotide transhydrogenase(NNT)
123099	ENSG00000168350	Homo sapiens	delta 4-desaturase, sphingolipid 2(DEGS2)
23533	ENSG00000141506	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 5(PIK3R5)
3295	ENSG00000133835	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 4(HSD17B4)
3294	ENSG00000086696	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 2(HSD17B2)
3293	ENSG00000130948	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 3(HSD17B3)
3292	ENSG00000108786	Homo sapiens	hydroxysteroid 17-beta dehydrogenase 1(HSD17B1)
440	ENSG00000070669	Homo sapiens	asparagine synthetase (glutamine-hydrolyzing)(ASNS)
56623	ENSG00000148384	Homo sapiens	inositol polyphosphate-5-phosphatase E(INPP5E)
443	ENSG00000108381	Homo sapiens	aspartoacylase(ASPA)
10229	ENSG00000167186	Homo sapiens	coenzyme Q7, hydroxylase(COQ7)
686	ENSG00000169814	Homo sapiens	biotinidase(BTD)
203	ENSG00000106992	Homo sapiens	adenylate kinase 1(AK1)
445	ENSG00000130707	Homo sapiens	argininosuccinate synthase 1(ASS1)
79966	ENSG00000145284	Homo sapiens	stearoyl-CoA desaturase 5(SCD5)
53354	ENSG00000152782	Homo sapiens	pantothenate kinase 1(PANK1)
204	ENSG00000004455	Homo sapiens	adenylate kinase 2(AK2)
51179	ENSG00000116882	Homo sapiens	hydroxyacid oxidase 2(HAO2)
205	ENSG00000162433	Homo sapiens	adenylate kinase 4(AK4)
6557	ENSG00000074803	Homo sapiens	solute carrier family 12 member 1(SLC12A1)
6799	ENSG00000197165	Homo sapiens	sulfotransferase family 1A member 2(SULT1A2)
6556	ENSG00000018280	Homo sapiens	solute carrier family 11 member 1(SLC11A1)
5226	ENSG00000142657	Homo sapiens	phosphogluconate dehydrogenase(PGD)
6559	ENSG00000070915	Homo sapiens	solute carrier family 12 member 3(SLC12A3)
6558	ENSG00000064651	Homo sapiens	solute carrier family 12 member 2(SLC12A2)
6319	ENSG00000099194	Homo sapiens	stearoyl-CoA desaturase(SCD)
84076	ENSG00000151005	Homo sapiens	transketolase like 2(TKTL2)
196883	ENSG00000284814	Homo sapiens	adenylate cyclase 4(ADCY4)
196883	ENSG00000129467	Homo sapiens	adenylate cyclase 4(ADCY4)
6571	ENSG00000165646	Homo sapiens	solute carrier family 18 member A2(SLC18A2)
8992	ENSG00000113732	Homo sapiens	ATPase H+ transporting V0 subunit e1(ATP6V0E1)
6570	ENSG00000036565	Homo sapiens	solute carrier family 18 member A1(SLC18A1)
6573	ENSG00000173638	Homo sapiens	solute carrier family 19 member 1(SLC19A1)
6572	ENSG00000187714	Homo sapiens	solute carrier family 18 member A3(SLC18A3)
6575	ENSG00000168575	Homo sapiens	solute carrier family 20 member 2(SLC20A2)
5243	ENSG00000085563	Homo sapiens	ATP binding cassette subfamily B member 1(ABCB1)
9843	ENSG00000089472	Homo sapiens	hephaestin(HEPH)
8513	ENSG00000182333	Homo sapiens	lipase F, gastric type(LIPF)
6574	ENSG00000144136	Homo sapiens	solute carrier family 20 member 1(SLC20A1)
5244	ENSG00000005471	Homo sapiens	ATP binding cassette subfamily B member 4(ABCB4)
6576	ENSG00000100075	Homo sapiens	solute carrier family 25 member 1(SLC25A1)
113278	ENSG00000101276	Homo sapiens	solute carrier family 52 member 3(SLC52A3)
3067	ENSG00000140287	Homo sapiens	histidine decarboxylase(HDC)
23743	ENSG00000132840	Homo sapiens	betaine--homocysteine S-methyltransferase 2(BHMT2)
51181	ENSG00000169738	Homo sapiens	dicarbonyl and L-xylulose reductase(DCXR)
79751	ENSG00000177542	Homo sapiens	solute carrier family 25 member 22(SLC25A22)
210	ENSG00000148218	Homo sapiens	aminolevulinate dehydratase(ALAD)
10678	ENSG00000170340	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2(B3GNT2)
211	ENSG00000023330	Homo sapiens	5'-aminolevulinate synthase 1(ALAS1)
212	ENSG00000158578	Homo sapiens	5'-aminolevulinate synthase 2(ALAS2)
55304	ENSG00000172296	Homo sapiens	serine palmitoyltransferase long chain base subunit 3(SPTLC3)
215	ENSG00000101986	Homo sapiens	ATP binding cassette subfamily D member 1(ABCD1)
114134	ENSG00000151229	Homo sapiens	solute carrier family 2 member 13(SLC2A13)
55301	ENSG00000152463	Homo sapiens	oleoyl-ACP hydrolase(OLAH)
216	ENSG00000165092	Homo sapiens	aldehyde dehydrogenase 1 family member A1(ALDH1A1)
217	ENSG00000111275	Homo sapiens	aldehyde dehydrogenase 2 family member(ALDH2)
6568	ENSG00000124568	Homo sapiens	solute carrier family 17 member 1(SLC17A1)
5236	ENSG00000079739	Homo sapiens	phosphoglucomutase 1(PGM1)
218	ENSG00000108602	Homo sapiens	aldehyde dehydrogenase 3 family member A1(ALDH3A1)
6567	ENSG00000147100	Homo sapiens	solute carrier family 16 member 2(SLC16A2)
219	ENSG00000137124	Homo sapiens	aldehyde dehydrogenase 1 family member B1(ALDH1B1)
8503	ENSG00000117461	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 3(PIK3R3)
5238	ENSG00000013375	Homo sapiens	phosphoglucomutase 3(PGM3)
6569	ENSG00000131183	Homo sapiens	solute carrier family 34 member 1(SLC34A1)
6582	ENSG00000112499	Homo sapiens	solute carrier family 22 member 2(SLC22A2)
5250	ENSG00000075415	Homo sapiens	solute carrier family 25 member 3(SLC25A3)
6581	ENSG00000146477	Homo sapiens	solute carrier family 22 member 3(SLC22A3)
6342	ENSG00000116171	Homo sapiens	sterol carrier protein 2(SCP2)
6584	ENSG00000197375	Homo sapiens	solute carrier family 22 member 5(SLC22A5)
6583	ENSG00000197208	Homo sapiens	solute carrier family 22 member 4(SLC22A4)
8760	ENSG00000101290	Homo sapiens	CDP-diacylglycerol synthase 2(CDS2)
4166	ENSG00000183196	Homo sapiens	carbohydrate sulfotransferase 6(CHST6)
113026	ENSG00000161714	Homo sapiens	phospholipase C delta 3(PLCD3)
5498	ENSG00000143224	Homo sapiens	protoporphyrinogen oxidase(PPOX)
80724	ENSG00000111271	Homo sapiens	acyl-CoA dehydrogenase family member 10(ACAD10)
3074	ENSG00000049860	Homo sapiens	hexosaminidase subunit beta(HEXB)
6580	ENSG00000175003	Homo sapiens	solute carrier family 22 member 1(SLC22A1)
3073	ENSG00000213614	Homo sapiens	hexosaminidase subunit alpha(HEXA)
220	ENSG00000184254	Homo sapiens	aldehyde dehydrogenase 1 family member A3(ALDH1A3)
221	ENSG00000006534	Homo sapiens	aldehyde dehydrogenase 3 family member B1(ALDH3B1)
222	ENSG00000132746	Homo sapiens	aldehyde dehydrogenase 3 family member B2(ALDH3B2)
10449	ENSG00000167315	Homo sapiens	acetyl-CoA acyltransferase 2(ACAA2)
223	ENSG00000143149	Homo sapiens	aldehyde dehydrogenase 9 family member A1(ALDH9A1)
51196	ENSG00000138193	Homo sapiens	phospholipase C epsilon 1(PLCE1)
224	ENSG00000072210	Homo sapiens	aldehyde dehydrogenase 3 family member A2(ALDH3A2)
225	ENSG00000173208	Homo sapiens	ATP binding cassette subfamily D member 2(ABCD2)
226	ENSG00000149925	Homo sapiens	aldolase, fructose-bisphosphate A(ALDOA)
55312	ENSG00000135002	Homo sapiens	riboflavin kinase(RFK)
6579	ENSG00000084453	Homo sapiens	solute carrier organic anion transporter family member 1A2(SLCO1A2)
10682	ENSG00000147155	Homo sapiens	EBP cholestenol delta-isomerase(EBP)
229	ENSG00000136872	Homo sapiens	aldolase, fructose-bisphosphate B(ALDOB)
6578	ENSG00000174640	Homo sapiens	solute carrier organic anion transporter family member 2A1(SLCO2A1)
5009	ENSG00000036473	Homo sapiens	ornithine transcarbamylase(OTC)
129607	ENSG00000134326	Homo sapiens	cytidine/uridine monophosphate kinase 2(CMPK2)
10201	ENSG00000172113	Homo sapiens	NME/NM23 nucleoside diphosphate kinase 6(NME6)
3081	ENSG00000113924	Homo sapiens	homogentisate 1,2-dioxygenase(HGD)
94005	ENSG00000087111	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class S(PIGS)
5264	ENSG00000107537	Homo sapiens	phytanoyl-CoA 2-hydroxylase(PHYH)
8534	ENSG00000175264	Homo sapiens	carbohydrate sulfotransferase 1(CHST1)
8776	ENSG00000063601	Homo sapiens	myotubularin related protein 1(MTMR1)
28976	ENSG00000177646	Homo sapiens	acyl-CoA dehydrogenase family member 9(ACAD9)
64834	ENSG00000066322	Homo sapiens	ELOVL fatty acid elongase 1(ELOVL1)
471	ENSG00000138363	Homo sapiens	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase(ATIC)
230	ENSG00000109107	Homo sapiens	aldolase, fructose-bisphosphate C(ALDOC)
231	ENSG00000085662	Homo sapiens	aldo-keto reductase family 1 member B(AKR1B1)
476	ENSG00000163399	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 1(ATP1A1)
477	ENSG00000018625	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 2(ATP1A2)
478	ENSG00000105409	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 3(ATP1A3)
116255	ENSG00000124003	Homo sapiens	monoacylglycerol O-acyltransferase 1(MOGAT1)
8527	ENSG00000077044	Homo sapiens	diacylglycerol kinase delta(DGKD)
8528	ENSG00000203797	Homo sapiens	D-aspartate oxidase(DDO)
8525	ENSG00000149091	Homo sapiens	diacylglycerol kinase zeta(DGKZ)
8526	ENSG00000153933	Homo sapiens	diacylglycerol kinase epsilon(DGKE)
5019	ENSG00000083720	Homo sapiens	3-oxoacid CoA-transferase 1(OXCT1)
9615	ENSG00000119125	Homo sapiens	guanine deaminase(GDA)
53947	ENSG00000128274	Homo sapiens	alpha 1,4-galactosyltransferase (P1PK blood group)(A4GALT)
8529	ENSG00000186115	Homo sapiens	cytochrome P450 family 4 subfamily F member 2(CYP4F2)
6120	ENSG00000197713	Homo sapiens	ribulose-5-phosphate-3-epimerase(RPE)
5277	ENSG00000165195	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class A(PIGA)
64841	ENSG00000100522	Homo sapiens	glucosamine-phosphate N-acetyltransferase 1(GNPNAT1)
5279	ENSG00000135845	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class C(PIGC)
23057	ENSG00000157064	Homo sapiens	nicotinamide nucleotide adenylyltransferase 2(NMNAT2)
64600	ENSG00000158786	Homo sapiens	phospholipase A2 group IIF(PLA2G2F)
3099	ENSG00000159399	Homo sapiens	hexokinase 2(HK2)
3098	ENSG00000156515	Homo sapiens	hexokinase 1(HK1)
480	ENSG00000132681	Homo sapiens	ATPase Na+/K+ transporting subunit alpha 4(ATP1A4)
481	ENSG00000143153	Homo sapiens	ATPase Na+/K+ transporting subunit beta 1(ATP1B1)
240	ENSG00000012779	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)
240	ENSG00000275565	Homo sapiens	arachidonate 5-lipoxygenase(ALOX5)
482	ENSG00000129244	Homo sapiens	ATPase Na+/K+ transporting subunit beta 2(ATP1B2)
64849	ENSG00000158296	Homo sapiens	solute carrier family 13 member 3(SLC13A3)
483	ENSG00000069849	Homo sapiens	ATPase Na+/K+ transporting subunit beta 3(ATP1B3)
256435	ENSG00000184005	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3(ST6GALNAC3)
248	ENSG00000163295	Homo sapiens	alkaline phosphatase, intestinal(ALPI)
249	ENSG00000162551	Homo sapiens	alkaline phosphatase, biomineralization associated(ALPL)
30815	ENSG00000160408	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6(ST6GALNAC6)
30815	ENSG00000257524	Homo sapiens	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6(ST6GALNAC6)
30814	ENSG00000188784	Homo sapiens	phospholipase A2 group IIE(PLA2G2E)
60482	ENSG00000115665	Homo sapiens	solute carrier family 5 member 7(SLC5A7)
197258	ENSG00000157353	Homo sapiens	fucose kinase(FCSK)
60481	ENSG00000012660	Homo sapiens	ELOVL fatty acid elongase 5(ELOVL5)
197257	ENSG00000166816	Homo sapiens	lactate dehydrogenase D(LDHD)
8310	ENSG00000087008	Homo sapiens	acyl-CoA oxidase 3, pristanoyl(ACOX3)
5283	ENSG00000100564	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class H(PIGH)
5286	ENSG00000011405	Homo sapiens	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha(PIK3C2A)
11041	ENSG00000174684	Homo sapiens	beta-1,4-glucuronyltransferase 1(B4GAT1)
11283	ENSG00000186526	Homo sapiens	cytochrome P450 family 4 subfamily F member 8(CYP4F8)
5287	ENSG00000133056	Homo sapiens	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta(PIK3C2B)
64850	ENSG00000164089	Homo sapiens	ethanolamine-phosphate phospho-lyase(ETNPPL)
4199	ENSG00000065833	Homo sapiens	malic enzyme 1(ME1)
11282	ENSG00000161013	Homo sapiens	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B(MGAT4B)
11282	ENSG00000284501	Homo sapiens	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B(MGAT4B)
5288	ENSG00000139144	Homo sapiens	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma(PIK3C2G)
5289	ENSG00000078142	Homo sapiens	phosphatidylinositol 3-kinase catalytic subunit type 3(PIK3C3)
5048	ENSG00000007168	Homo sapiens	platelet activating factor acetylhydrolase 1b regulatory subunit 1(PAFAH1B1)
131669	ENSG00000159650	Homo sapiens	urocanate hydratase 1(UROC1)
127124	ENSG00000151418	Homo sapiens	ATPase H+ transporting V1 subunit G3(ATP6V1G3)
127124	ENSG00000263014	Homo sapiens	ATPase H+ transporting V1 subunit G3(ATP6V1G3)
490	ENSG00000070961	Homo sapiens	ATPase plasma membrane Ca2+ transporting 1(ATP2B1)
4190	ENSG00000014641	Homo sapiens	malate dehydrogenase 1(MDH1)
491	ENSG00000157087	Homo sapiens	ATPase plasma membrane Ca2+ transporting 2(ATP2B2)
8790	ENSG00000254685	Homo sapiens	fucose-1-phosphate guanylyltransferase(FPGT)
4191	ENSG00000146701	Homo sapiens	malate dehydrogenase 2(MDH2)
492	ENSG00000067842	Homo sapiens	ATPase plasma membrane Ca2+ transporting 3(ATP2B3)
493	ENSG00000058668	Homo sapiens	ATPase plasma membrane Ca2+ transporting 4(ATP2B4)
5281	ENSG00000151665	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class F(PIGF)
57084	ENSG00000091664	Homo sapiens	solute carrier family 17 member 6(SLC17A6)
92086	ENSG00000149435	Homo sapiens	gamma-glutamyltransferase light chain 1(GGTLC1)
495	ENSG00000105675	Homo sapiens	ATPase H+/K+ transporting subunit alpha(ATP4A)
496	ENSG00000186009	Homo sapiens	ATPase H+/K+ transporting subunit beta(ATP4B)
498	ENSG00000152234	Homo sapiens	ATP synthase F1 subunit alpha(ATP5F1A)
55902	ENSG00000131069	Homo sapiens	acyl-CoA synthetase short chain family member 2(ACSS2)
51301	ENSG00000176928	Homo sapiens	glucosaminyl (N-acetyl) transferase 4(GCNT4)
8789	ENSG00000130957	Homo sapiens	fructose-bisphosphatase 2(FBP2)
11046	ENSG00000130958	Homo sapiens	solute carrier family 35 member D2(SLC35D2)
8309	ENSG00000168306	Homo sapiens	acyl-CoA oxidase 2(ACOX2)
60490	ENSG00000138621	Homo sapiens	phosphopantothenoylcysteine decarboxylase(PPCDC)
5052	ENSG00000117450	Homo sapiens	peroxiredoxin 1(PRDX1)
5294	ENSG00000105851	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma(PIK3CG)
8564	ENSG00000117009	Homo sapiens	kynurenine 3-monooxygenase(KMO)
5053	ENSG00000171759	Homo sapiens	phenylalanine hydroxylase(PAH)
5295	ENSG00000145675	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
5296	ENSG00000105647	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
55907	ENSG00000111726	Homo sapiens	cytidine monophosphate N-acetylneuraminic acid synthetase(CMAS)
5297	ENSG00000241973	Homo sapiens	phosphatidylinositol 4-kinase alpha(PI4KA)
9651	ENSG00000276429	Homo sapiens	phospholipase C eta 2(PLCH2)
9651	ENSG00000149527	Homo sapiens	phospholipase C eta 2(PLCH2)
5298	ENSG00000143393	Homo sapiens	phosphatidylinositol 4-kinase beta(PI4KB)
153201	ENSG00000186335	Homo sapiens	solute carrier family 36 member 2(SLC36A2)
9415	ENSG00000134824	Homo sapiens	fatty acid desaturase 2(FADS2)
6389	ENSG00000073578	Homo sapiens	succinate dehydrogenase complex flavoprotein subunit A(SDHA)
8566	ENSG00000160209	Homo sapiens	pyridoxal kinase(PDXK)
28965	ENSG00000113396	Homo sapiens	solute carrier family 27 member 6(SLC27A6)
26301	ENSG00000148288	Homo sapiens	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)(GBGT1)
5290	ENSG00000121879	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha(PIK3CA)
59272	ENSG00000130234	Homo sapiens	angiotensin converting enzyme 2(ACE2)
8560	ENSG00000143753	Homo sapiens	delta 4-desaturase, sphingolipid 1(DEGS1)
5291	ENSG00000051382	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta(PIK3CB)
57094	ENSG00000165078	Homo sapiens	carboxypeptidase A6(CPA6)
262	ENSG00000123505	Homo sapiens	adenosylmethionine decarboxylase 1(AMD1)
5050	ENSG00000079462	Homo sapiens	platelet activating factor acetylhydrolase 1b catalytic subunit 3(PAFAH1B3)
5051	ENSG00000158006	Homo sapiens	platelet activating factor acetylhydrolase 2(PAFAH2)
5293	ENSG00000171608	Homo sapiens	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)
118881	ENSG00000165644	Homo sapiens	catechol-O-methyltransferase domain containing 1(COMTD1)
5049	ENSG00000168092	Homo sapiens	platelet activating factor acetylhydrolase 1b catalytic subunit 2(PAFAH1B2)
84693	ENSG00000124370	Homo sapiens	methylmalonyl-CoA epimerase(MCEE)
51557	ENSG00000146166	Homo sapiens	lengsin, lens protein with glutamine synthetase domain(LGSN)
8574	ENSG00000053371	Homo sapiens	aldo-keto reductase family 7 member A2(AKR7A2)
7001	ENSG00000167815	Homo sapiens	peroxiredoxin 2(PRDX2)
9420	ENSG00000172817	Homo sapiens	cytochrome P450 family 7 subfamily B member 1(CYP7B1)
130752	ENSG00000138400	Homo sapiens	malate dehydrogenase 1B(MDH1B)
270	ENSG00000116748	Homo sapiens	adenosine monophosphate deaminase 1(AMPD1)
6391	ENSG00000143252	Homo sapiens	succinate dehydrogenase complex subunit C(SDHC)
271	ENSG00000116337	Homo sapiens	adenosine monophosphate deaminase 2(AMPD2)
6390	ENSG00000117118	Homo sapiens	succinate dehydrogenase complex iron sulfur subunit B(SDHB)
272	ENSG00000133805	Homo sapiens	adenosine monophosphate deaminase 3(AMPD3)
23007	ENSG00000114805	Homo sapiens	phospholipase C eta 1(PLCH1)
6392	ENSG00000204370	Homo sapiens	succinate dehydrogenase complex subunit D(SDHD)
275	ENSG00000145020	Homo sapiens	aminomethyltransferase(AMT)
276	ENSG00000237763	Homo sapiens	amylase alpha 1A(AMY1A)
277	ENSG00000174876	Homo sapiens	amylase alpha 1B(AMY1B)
278	ENSG00000187733	Homo sapiens	amylase alpha 1C(AMY1C)
279	ENSG00000243480	Homo sapiens	amylase alpha 2A(AMY2A)
84002	ENSG00000176597	Homo sapiens	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5(B3GNT5)
7498	ENSG00000158125	Homo sapiens	xanthine dehydrogenase(XDH)
9435	ENSG00000175040	Homo sapiens	carbohydrate sulfotransferase 2(CHST2)
280	ENSG00000240038	Homo sapiens	amylase alpha 2B(AMY2B)
23498	ENSG00000162882	Homo sapiens	3-hydroxyanthranilate 3,4-dioxygenase(HAAO)
94033	ENSG00000181867	Homo sapiens	ferritin mitochondrial(FTMT)
116285	ENSG00000166743	Homo sapiens	acyl-CoA synthetase medium chain family member 1(ACSM1)
50484	ENSG00000048392	Homo sapiens	ribonucleotide reductase regulatory TP53 inducible subunit M2B(RRM2B)
54600	ENSG00000241119	Homo sapiens	UDP glucuronosyltransferase family 1 member A9(UGT1A9)
9429	ENSG00000118777	Homo sapiens	ATP binding cassette subfamily G member 2 (JR blood group)(ABCG2)
50487	ENSG00000100078	Homo sapiens	phospholipase A2 group III(PLA2G3)
85320	ENSG00000121270	Homo sapiens	ATP binding cassette subfamily C member 11(ABCC11)
7264	ENSG00000104522	Homo sapiens	GDP-L-fucose synthase(GFUS)
7264	ENSG00000278243	Homo sapiens	GDP-L-fucose synthase(GFUS)
7263	ENSG00000128311	Homo sapiens	thiosulfate sulfurtransferase(TST)
10390	ENSG00000134255	Homo sapiens	choline/ethanolamine phosphotransferase 1(CEPT1)
65985	ENSG00000081760	Homo sapiens	acetoacetyl-CoA synthetase(AACS)
9446	ENSG00000148834	Homo sapiens	glutathione S-transferase omega 1(GSTO1)
290	ENSG00000166825	Homo sapiens	alanyl aminopeptidase, membrane(ANPEP)
23464	ENSG00000100116	Homo sapiens	glycine C-acetyltransferase(GCAT)
